     COD_PROGRAMA                                                                       DS_PROGRAMA
0           150.0                                      DESENVOLVIMENTO DAS ATIVIDADES PARLAMENTARES
1           200.0                                                                  CONTROLE EXTERNO
2           303.0                                        PROCESSO JUDICIÁRIO NO TRIBUNAL DE JUSTIÇA
3           600.0                                  GESTÃO E MANUTENÇÃO DA JUSTIÇA MILITAR DO ESTADO
4           800.0                                          EDUCAÇÃO PÚBLICA DE QUALIDADE PARA TODOS
5           815.0                                    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO
6           930.0               ATENDIMENTO INTEGRADO E REGIONALIZADO NO SUS NO ESTADO DE SAO PAULO
7           932.0                                         PREVENÇÃO, VIGILÂNCIA E PROMOÇÃO DA SAÚDE
8           941.0                                       ESTRUTURAÇÃO DA REDE DE ASSISTÊNCIA À SAÚDE
9           942.0                                     GESTÃO INSTITUCIONAL E CAPACITAÇÃO PARA O SUS
10          944.0                                               PROGRAMA DE ATENÇÃO EM SAÚDE MENTAL
11          946.0    INOVAÇÃO, PESQUISA CIENTÍFICA, PRODUÇÃO E FORNECIMENTO DE INSUMOS ESTRATÉGICOS
12          947.0                 TECNOLOGIA DA INFORMAÇÃO, COMUNICAÇÃO E INOVAÇÃO EM SAÚDE DIGITAL
13         1047.0                             COMPETITIVIDADE, DESENVOLVIMENTO ECONÔMICO E REGIONAL
14         1048.0                                            EMPREENDEDORISMO E LIBERDADE ECONÔMICA
15         1049.0                         FOMENTO AO DESENVOLVIMENTO SOCIOECONÔMICO - DESENVOLVE SP
16         1050.0              REGISTRO DIGITAL PARA ABERTURA, ALTERAÇÃO E ENCERRAMENTO DE EMPRESAS
17         1051.0                                         QUALIFICACAO PROFISSIONAL E EMPREENDEDORA
18         1052.0                                SUPORTE ADMINISTRATIVO E MELHORIA DE GESTÃO DA SDE
19         1201.0                                     PROMOÇÃO DA ECONOMIA E DA INDÚSTRIA CRIATIVAS
20         1202.0                                                PRESERVAÇÃO DO PATRIMÔNIO CULTURAL
21         1206.0                                             RÁDIOS, TVS EDUCATIVAS E NOVAS MÍDIAS
22         1221.0                                         INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS
23         1222.0                                              FORMAÇÃO, DIFUSÃO E MEMÓRIA CULTURAL
24         1223.0       GESTÃO E INOVAÇÃO DA SECRETARIA DA CULTURA E ECONOMIA E INDÚSTRIA CRIATIVAS
25         1316.0  DEFESA AGROPECUÁRIA E SUSTENTABILIDADE SANITÁRIA INTEGRADA A SEGURANÇA ALIMENTAR
26         1317.0                                                              PRODUÇÃO SUSTENTÁVEL
27         1318.0                 GESTÃO ADMINISTRATIVA E GOVERNANÇA EM AGRICULTURA E ABASTECIMENTO
28         1319.0                                                             INOVAÇÃO AGROPECUÁRIA
29         1320.0                     DIGNIDADE E DESENVOLVIMENTO NAS POLÍTICAS FUNDIÁRIA E AGRÁRIA
30         1612.0                                    POLÍTICAS PARA MULHERES NO ESTADO DE SÃO PAULO
31         1711.0                                                   PROTEÇÃO E DEFESA DO CONSUMIDOR
32         1714.0          PERÍCIA JUDICIAL DE MEDICINA LEGAL E DE INVESTIGAÇÃO DE VÍNCULO GENÉTICO
33         1724.0                                     METROLOGIA E QUALIDADE DE PRODUTOS E SERVIÇOS
34         1729.0  ATENÇÃO AO ADOLESCENTE/JOVEM EM CUMPRIM.MEDIDA SOCIOED, CAUTELAR E EM PÓS MEDIDA
35         1730.0                                        CIDADANIA EMANCIPATÓRIA E DIREITOS HUMANOS
36         1801.0                                 FORTALECIMENTO E INTEGRAÇÃO DA POLÍCIA JUDICIÁRIA
